id_aktywnosc;aktywnosc_przed;aktywnosc_spadek;sport_przed;sport_w_trakcie;kroki_przed;kroki_w_trakcie;id_dane;klasa
1;d) 4;c) 3;b) 3-5h;a) 1-2h;b) 5000-10000;b) 5000-10000;1;0
2;c) 3;e) 5;b) 3-5h;a) 1-2h;b) 5000-10000;a) Do 5000;2;0
3;c) 3;e) 5;b) 3-5h;a) 1-2h;b) 5000-10000;a) Do 5000;3;0
4;d) 4;d) 4;d) więcej;b) 3-5h;b) 5000-10000;a) Do 5000;4;0
5;c) 3;c) 3;a) 1-2h;a) 1-2h;d)Nie wiem;d)Nie wiem;5;0
6;d) 4;d) 4;b) 3-5h;a) 1-2h;b) 5000-10000;a) Do 5000;6;0
7;b) 2;c) 3;a) 1-2h;a) 1-2h;b) 5000-10000;a) Do 5000;7;0
8;c) 3;b) 2;b) 3-5h;a) 1-2h;c)Ponad 10000;b) 5000-10000;8;0
9;d) 4;c) 3;c) 6-7h;a) 1-2h;b) 5000-10000;a) Do 5000;9;0
10;c) 3;a) 1;a) 1-2h;a) 1-2h;b) 5000-10000;b) 5000-10000;10;0
11;c) 3;b) 2;d) więcej;b) 3-5h;b) 5000-10000;a) Do 5000;11;0
12;b) 2;e) 5;a) 1-2h;a) 1-2h;b) 5000-10000;a) Do 5000;12;0
13;c) 3;a) 1;a) 1-2h;b) 3-5h;b) 5000-10000;c)Ponad 10000;13;0
14;c) 3;a) 1;a) 1-2h;c) 6-7h;b) 5000-10000;a) Do 5000;14;0
15;b) 2;a) 1;b) 3-5h;b) 3-5h;b) 5000-10000;b) 5000-10000;15;0
16;c) 3;c) 3;c) 6-7h;a) 1-2h;c)Ponad 10000;a) Do 5000;16;0
17;d) 4;a) 1;d) więcej;a) 1-2h;b) 5000-10000;a) Do 5000;17;0
18;a) 1;a) 1;a) 1-2h;a) 1-2h;a) Do 5000;a) Do 5000;18;0
19;e) 5;c) 3;d) więcej;c) 6-7h;c)Ponad 10000;b) 5000-10000;19;0
20;e) 5;e) 5;d) więcej;d) więcej;c)Ponad 10000;c)Ponad 10000;20;0
21;c) 3;a) 1;c) 6-7h;a) 1-2h;c)Ponad 10000;a) Do 5000;21;0
22;a) 1;e) 5;a) 1-2h;d) więcej;a) Do 5000;c)Ponad 10000;22;0
23;e) 5;e) 5;d) więcej;d) więcej;c)Ponad 10000;c)Ponad 10000;23;0
24;e) 5;b) 2;d) więcej;b) 3-5h;c)Ponad 10000;a) Do 5000;24;0
25;c) 3;c) 3;c) 6-7h;b) 3-5h;c)Ponad 10000;c)Ponad 10000;25;0
26;e) 5;e) 5;d) więcej;d) więcej;d)Nie wiem;c)Ponad 10000;26;0
27;d) 4;b) 2;d) więcej;b) 3-5h;d)Nie wiem;d)Nie wiem;27;0
28;d) 4;a) 1;d) więcej;b) 3-5h;d)Nie wiem;a) Do 5000;28;0
29;c) 3;a) 1;d) więcej;a) 1-2h;d)Nie wiem;d)Nie wiem;29;0
30;e) 5;a) 1;d) więcej;a) 1-2h;c)Ponad 10000;a) Do 5000;30;0
31;e) 5;c) 3;d) więcej;c) 6-7h;c)Ponad 10000;b) 5000-10000;31;0
32;d) 4;a) 1;d) więcej;a) 1-2h;c)Ponad 10000;a) Do 5000;32;0
33;c) 3;c) 3;c) 6-7h;c) 6-7h;b) 5000-10000;b) 5000-10000;33;0
34;e) 5;b) 2;d) więcej;b) 3-5h;c)Ponad 10000;b) 5000-10000;34;0
35;c) 3;d) 4;b) 3-5h;a) 1-2h;b) 5000-10000;a) Do 5000;35;0
36;d) 4;e) 5;b) 3-5h;a) 1-2h;b) 5000-10000;a) Do 5000;36;0
37;c) 3;a) 1;a) 1-2h;a) 1-2h;d)Nie wiem;d)Nie wiem;37;0
38;e) 5;c) 3;d) więcej;c) 6-7h;c)Ponad 10000;d)Nie wiem;38;0
39;e) 5;c) 3;d) więcej;c) 6-7h;c)Ponad 10000;d)Nie wiem;39;0
40;d) 4;c) 3;c) 6-7h;b) 3-5h;d)Nie wiem;a) Do 5000;40;0
41;e) 5;e) 5;d) więcej;d) więcej;c)Ponad 10000;c)Ponad 10000;41;0
42;e) 5;c) 3;d) więcej;c) 6-7h;c)Ponad 10000;d)Nie wiem;42;0
43;d) 4;d) 4;b) 3-5h;a) 1-2h;b) 5000-10000;a) Do 5000;43;0
44;d) 4;d) 4;c) 6-7h;a) 1-2h;c)Ponad 10000;a) Do 5000;44;0
45;a) 1;a) 1;a) 1-2h;a) 1-2h;a) Do 5000;a) Do 5000;45;0
46;b) 2;a) 1;b) 3-5h;a) 1-2h;a) Do 5000;a) Do 5000;46;0
47;d) 4;c) 3;c) 6-7h;b) 3-5h;b) 5000-10000;a) Do 5000;47;0
48;e) 5;c) 3;d) więcej;c) 6-7h;c)Ponad 10000;d)Nie wiem;48;0
49;c) 3;b) 2;c) 6-7h;b) 3-5h;c)Ponad 10000;b) 5000-10000;49;0
50;e) 5;d) 4;d) więcej;b) 3-5h;c)Ponad 10000;a) Do 5000;50;0
51;c) 3;a) 1;b) 3-5h;c) 6-7h;b) 5000-10000;c)Ponad 10000;51;0
52;d) 4;d) 4;c) 6-7h;a) 1-2h;c)Ponad 10000;b) 5000-10000;52;0
